"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Заявка","Работа с заявками","","2","0","11","0","0"
"Номенклатура","Получение номенклатуры по Гуид","","0","0","12","0","0"
"","Вспомогательные","","13","1","32","0","0"
"Классификаторы","Единый Классификатор","","0","0","33","0","0"
"Классификаторы","Единый ограничительный перечень","","0","0","32","0","0"
"Общероссийские классификаторы","Получение ТНВЕД","","0","0","32","0","0"
"Номенклатура","Получение базовой услуги по Гуид","","0","0","12","0","0"
"Общероссийские классификаторы","Получение ОКВЕД2","","0","0","32","0","0"
"Номенклатура","Поиск номенклатуры","","3","0","40","0","0"
"Общероссийские классификаторы","Получение ОКПД2","","0","0","32","0","0"
"Классификаторы","Единицы измерения","","0","0","32","0","0"
